source_year,rank,list_title,book_url,source
1986,2,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",https://www.goodreads.com/book/show/15196.Maus_I,Goodreads Popular by Year
1986,3,"Speaker for the Dead (Ender's Saga, #2)",https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead,Goodreads Popular by Year
1986,4,Love You Forever,https://www.goodreads.com/book/show/310259.Love_You_Forever,Goodreads Popular by Year
1986,5,The Prince of Tides,https://www.goodreads.com/book/show/16735.The_Prince_of_Tides,Goodreads Popular by Year
1986,6,"Watchmen #1: At Midnight, All The Agents…",https://www.goodreads.com/book/show/17856572-watchmen-1,Goodreads Popular by Year
1986,7,Batman: The Dark Knight Returns,https://www.goodreads.com/book/show/59960.Batman,Goodreads Popular by Year
1986,8,"The Light Fantastic (Discworld, #2; Rincewind, #2)",https://www.goodreads.com/book/show/34506.The_Light_Fantastic,Goodreads Popular by Year
1986,9,"Redwall (Redwall, #1)",https://www.goodreads.com/book/show/7996.Redwall,Goodreads Popular by Year
1986,10,"The Bourne Supremacy (Jason Bourne, #2)",https://www.goodreads.com/book/show/15769.The_Bourne_Supremacy,Goodreads Popular by Year
1987,1,Norwegian Wood,https://www.goodreads.com/book/show/11297.Norwegian_Wood,Goodreads Popular by Year
1987,2,Misery,https://www.goodreads.com/book/show/10614.Misery,Goodreads Popular by Year
1987,3,Beloved,https://www.goodreads.com/book/show/6149.Beloved,Goodreads Popular by Year
1987,4,Watchmen,https://www.goodreads.com/book/show/472331.Watchmen,Goodreads Popular by Year
1987,5,"Hatchet (Brian's Saga, #1)",https://www.goodreads.com/book/show/50.Hatchet,Goodreads Popular by Year
1987,6,Fried Green Tomatoes at the Whistle Stop Cafe,https://www.goodreads.com/book/show/9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe,Goodreads Popular by Year
1987,7,"The Drawing of the Three (Dark Tower, #2)",https://www.goodreads.com/book/show/5094.The_Drawing_of_the_Three,Goodreads Popular by Year
1987,8,"Mort (Discworld, #4; Death, #1)",https://www.goodreads.com/book/show/386372.Mort,Goodreads Popular by Year
1987,9,"Equal Rites (Discworld, #3; Witches, #1)",https://www.goodreads.com/book/show/34507.Equal_Rites,Goodreads Popular by Year
1987,10,Sphere,https://www.goodreads.com/book/show/455373.Sphere,Goodreads Popular by Year
1988,1,The Alchemist,https://www.goodreads.com/book/show/18144590-the-alchemist,Goodreads Popular by Year
1988,2,Matilda,https://www.goodreads.com/book/show/39988.Matilda,Goodreads Popular by Year
1988,3,Charlie and the Chocolate Factory,https://www.goodreads.com/book/show/781822.Charlie_and_the_Chocolate_Factory,Goodreads Popular by Year
1988,4,Matilda,https://www.goodreads.com/book/show/28186304.Matilda,Goodreads Popular by Year
1988,5,The BFG,https://www.goodreads.com/book/show/527786.The_BFG,Goodreads Popular by Year
1988,6,A Brief History of Time,https://www.goodreads.com/book/show/3869.A_Brief_History_of_Time,Goodreads Popular by Year
1988,7,"The Silence of the Lambs  (Hannibal Lecter, #2)",https://www.goodreads.com/book/show/23807.The_Silence_of_the_Lambs,Goodreads Popular by Year
1988,8,"The Sandman, Vol. 1: Preludes & Nocturnes",https://www.goodreads.com/book/show/23754.The_Sandman_Vol_1,Goodreads Popular by Year
1988,9,Dead Poets Society,https://www.goodreads.com/book/show/67238.Dead_Poets_Society,Goodreads Popular by Year
1988,10,Batman: Year One,https://www.goodreads.com/book/show/59980.Batman,Goodreads Popular by Year
1989,1,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,https://www.goodreads.com/book/show/36072.The_7_Habits_of_Highly_Effective_People,Goodreads Popular by Year
1989,2,"The Pillars of the Earth (Kingsbridge, #1)",https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,Goodreads Popular by Year
