source_year,rank,list_title,title,author,average_rating,ratings_count,reviews_count,description,genres,pages,published_date,language,publisher,isbn,edition_count,book_url,image_url,source
1901,,,Kim,Rudyard Kipling,3.7222223,18.0,,,"Fiction, Irish, Lamas, Irish in fiction, Orphans, Boys in fiction, Boys, Lamas in fiction, Orphans in fiction, India in fiction",,1901,"heb, por, chi, ita, dan, eng, pol, spa, fre, ger","North Books, Cover to Cover Cassettes Ltd, Xist Publishing, Penguin Books, Limited, Alex Catalogue",9781986783378,934,https://openlibrary.org/works/OL19908W,https://covers.openlibrary.org/b/id/1053011-M.jpg,Open Library API
1901,,,Number the Stars,Lois Lowry,4.173077,104.0,,,"Fiction, Friendship, Rescue, World War, 1939-1945, Jews, Juvenile fiction, Girls & Women, Newbery Medal, Holocaust, World War (1939-1945) fast (OCoLC)fst01180924",,1901,"chi, eng, fre, hun, spa, tur, ger","Planetalector, Educational Impressions, Klett Sprachen GmbH, Dell Pub., Espasa Calpe",0395510600,91,https://openlibrary.org/works/OL1846074W,https://covers.openlibrary.org/b/id/13249599-M.jpg,Open Library API
1901,,,The Bad Place,Dean Koontz,3.857143,14.0,,,"Private investigators, Murder, Amnesia, Psychokinesis, Fugue (Psychology), Fiction, Fiction, horror, Brothers and sisters, fiction, Crime, fiction, Brothers and sisters",,1901,"fre, eng, spa, ger, und, rus, pol, ita","BCA, Thorndike-Magna, Brilliance Corp., HEADLINE (HODD), Vergara Editor S.A.",1593553420,53,https://openlibrary.org/works/OL263256W,https://covers.openlibrary.org/b/id/6380577-M.jpg,Open Library API
1901,,,The Violet Fairy Book (Large Print),Andrew Lang,4.0,8.0,,,"Fairy tales, Children's fiction, Fiction, fantasy, general",,1901,eng,"West Margin Press, Echo Library, Blurb, DAVID MCKAY COMPANY, INC., New West Press",9798638558253,459,https://openlibrary.org/works/OL1088883W,https://covers.openlibrary.org/b/id/12014563-M.jpg,Open Library API
1901,,,The Prestige,Christopher Priest,3.625,8.0,,,"Magicians, Journalists, Fiction, Fiction, general, England, fiction, Journalists, fiction, Fiction, horror, Music-halls, History, Music halls",,1901,"spa, eng, fre","Orion Books, Gollancz, Orion Publishing Group, Limited, St. Martin's Press, Tor Books",9781405617093,24,https://openlibrary.org/works/OL166497W,https://covers.openlibrary.org/b/id/3850762-M.jpg,Open Library API
1901,,,The Wouldbegoods,Edith Nesbit,3.0,1.0,,,"Classic Literature, Fiction, Juvenile Literature, Children's fiction, Adventure and adventurers, fiction, Country life, Juvenile fiction, Children's stories, Er tong wen xue, Chang pian xiao shuo",,1901,"chi, eng, tur, und","Start Publishing LLC, Liese. Outside The Box, Andreas, Harper & Brothers Publishers, Tandem Library, Book Jungle",1434652297,283,https://openlibrary.org/works/OL99543W,https://covers.openlibrary.org/b/id/8243273-M.jpg,Open Library API
1901,,,The Purple Cloud,"M. P. Shiel, J. J. Cameron, Brian Stableford",3.0,2.0,,,"Classic Literature, End of the world, Fiction, Natural disasters, Science Fiction, Fiction, science fiction, general, Fiction, action & adventure, Arctic regions, fiction, Fiction in English, Fiction, horror",,1901,eng,"Start Publishing LLC, Aberdeen Press, Borgo Press, Warner, Penguin Books, Limited",9781609778712,56,https://openlibrary.org/works/OL6414317W,https://covers.openlibrary.org/b/id/574739-M.jpg,Open Library API
1901,,,The four feathers,A. E. W. Mason,3.0,2.0,,,"Cowardice, Male friendship, Open Library Staff Picks, British, Fiction, Soldiers, Classic Literature, Fiction, mystery & detective, general, Fiction, political, Fiction, war & military",,1901,"eng, spa, ger","Grosset & Dunlap, West Margin Press, Carroll & Graf Publishers, IndyPublish, Hart Publishing Co.",172781911X,156,https://openlibrary.org/works/OL532451W,https://covers.openlibrary.org/b/id/109751-M.jpg,Open Library API
1901,,,Tahreer ka sehar,H. Rider Haggard,4.0,1.0,,,"Fiction, History, Fiction, historical, general, Jerusalem, fiction, Fiction, general",,1901,"eng, urd, ice","Amereon Ltd, Collection Books, Franklin Classics Trade Press, Kensington Pub Corp (Mm), Longmans, Green, and Co.",0854682325,120,https://openlibrary.org/works/OL17454W,https://covers.openlibrary.org/b/id/954728-M.jpg,Open Library API
1901,,,The Fixer,Bernard Malamud,5.0,1.0,,,"Fiction, Trials (Murder), Jews, Antisemitism, False testimony, National Book Award Winner, award:national_book_award=1967, award:national_book_award=fiction, CHR 1966, Literature",,1901,"fin, swe, cze, dan, hun, dut, fre, nor, eng, spa, ger, por, tur","Dell Publishing, Chatto & Windus, Penguin Classics, Mladinska Knjiga, Washington Square Press",9780394299549,92,https://openlibrary.org/works/OL1937854W,https://covers.openlibrary.org/b/id/225215-M.jpg,Open Library API
1902,,,Dance Upon the Air,Nora Roberts,3.9230769,13.0,,,"Islas, Brujas, Novela oculta, Mujeres, Abused wives, Massachusetts in fiction, Abused wives in fiction, Women in fiction, Fiction, Open Library Staff Picks",,1902,"fre, rus, eng, ger, pol, chi, spa","Brilliance Audio on MP3-CD, G.K. Hall, Brilliance Audio on MP3-CD Lib Ed, Nova Audio Books, Don't know",9780739417386,43,https://openlibrary.org/works/OL111597W,https://covers.openlibrary.org/b/id/1464182-M.jpg,Open Library API
1902,,,The Jewel of Seven Stars,Bram Stoker,4.5,6.0,,,"Mummies, Horror, Fiction, Archaeologists, Classic Literature, Thriller, Fiction, horror, Archaeologists, fiction, British and irish fiction (fictional works by one author), History",,1902,"ger, eng","Creative Media Partners, LLC, Independently Published, Independently published, Bollinger, Max, Lulu Press, Inc.",9798481877518,653,https://openlibrary.org/works/OL85891W,https://covers.openlibrary.org/b/id/2760301-M.jpg,Open Library API
1902,,,The Complete Life and Adventures of Santa Claus,L. Frank Baum,4.25,4.0,,,"Fantasy, Fiction, Juvenile Fiction, Science Fiction & Fantasy, Classic Literature, Christmas stories, Christmas, Santa Claus, Children: Kindergarten, Children's fiction",,1902,"eng, fre","Portland House, Notion Press, 1st World Library, Signet Classics, Creative Media Partners, LLC",9781976087097,560,https://openlibrary.org/works/OL262358W,https://covers.openlibrary.org/b/id/1979059-M.jpg,Open Library API
1902,,,Noli Me Tangere,José Rizal,4.4,10.0,,,"Economics, Classic Literature, Fiction, Fiction, historical, general, Philippines, fiction, Fiction, humorous, general, Man-woman relationships, fiction, History, Translations into English, Fiction, general",,1902,"tgl, ita, spa, eng, fre","Círculo de Lectores, Manila Filatelica, Franklin Classics, National Historical Institute, Arkose Press",9798530585043,134,https://openlibrary.org/works/OL1622789W,https://covers.openlibrary.org/b/id/5738053-M.jpg,Open Library API
1902,,,The Wings of the Dove,Henry James,3.5,2.0,,,"Fiction, Americans in fiction, Americans, Triangles (Interpersonal relations), Terminally ill, Young women in fiction, Young women, Terminally ill in fiction, Social life and customs, Classic Literature",,1902,eng,"New American Library, Signet Classics, Charles Scribner's Sons, Penguin Classics, Merrill",9780140432633,60,https://openlibrary.org/works/OL276397W,https://covers.openlibrary.org/b/id/8241379-M.jpg,Open Library API
1902,,,Brewster's millions,George Barr McCutcheon,4.0,5.0,,,"Fiction, Millionaires, Inheritance and succession in fiction, Millionaires in fiction, Inheritance and succession, Young men, Young men in fiction, Fiction, humorous, general, Fiction, coming of age, Large type books",,1902,"eng, spa, ice","Xist Publishing, Literary Licensing, LLC, Indiana University Press, TREDITION CLASSICS, Lightyear Pr",9781974169351,120,https://openlibrary.org/works/OL24259W,https://covers.openlibrary.org/b/id/1152919-M.jpg,Open Library API
1902,,,Typhoon,Joseph Conrad,4.6666665,6.0,,,"English Sea stories, Classic Literature, Fiction, Historical Fiction, Typhoons, Ocean travel, British and irish fiction (fictional works by one author)",,1902,"eng, ita, fre, spa","IndyPublish, YOYO USA, Paperbackshop.Co.UK Ltd - Echo Library, NuVision Publications, Autrement",1412160227,110,https://openlibrary.org/works/OL38876W,https://covers.openlibrary.org/b/id/1979349-M.jpg,Open Library API
1902,,,L'immoraliste,André Gide,2.7142856,7.0,,,"French language, Readers, Textbooks for foreign speakers, French fiction, Translations into English, Gay men, Fiction, French literature, Disease in literature, Tuberculosis",,1902,"heb, jpn, vie, ita, spa, ger, eng, fre","Jdh Editions, Vintage Books, Gallimard], Cátedra, Folio",0785922857,117,https://openlibrary.org/works/OL631007W,https://covers.openlibrary.org/b/id/313741-M.jpg,Open Library API
1902,,,Hound of the Baskervilles,"Arthur Conan Doyle, Althos Low",,,,,"England, fiction, Fiction, mystery & detective, general, Private investigators, fiction",,1902,eng,"East India Publishing Company, Capital Communications, Incorporated, 510 Classics, Sordelet Ink, Shakespeare & Co.",1726268233,399,https://openlibrary.org/works/OL37844349W,,Open Library API
