source_year,title,author,average_rating,ratings_count,reviews_count,description,genres,pages,publisher,book_url,image_url,source
1933,Lord Edgware Dies,Agatha Christie,3.9166667,12,0,"Lord Edgware Dies Agatha Christie Hercule Poirot (Fictitious character), Private investigators, Fiction, Mystery, Detective and mystery stories, Juvenile literature, Investigadores privados, Poirot, Hercule (Personaje literario), Detectives privados, Novela Collins for the Crime Club, Published for the Crime Club Ltd. by Collins, Al-Ajyal, Harpercollins, Dodd, Mead & Company","Hercule Poirot (Fictitious character), Private investigators, Fiction, Mystery, Detective and mystery stories, Juvenile literature, Investigadores privados, Poirot, Hercule (Personaje literario), Detectives privados, Novela",,"Collins for the Crime Club, Published for the Crime Club Ltd. by Collins, Al-Ajyal, Harpercollins, Dodd, Mead & Company",https://openlibrary.org/works/OL471767W,https://covers.openlibrary.org/b/id/9492111-M.jpg,Open Library API
1933,The Red Pony,John Steinbeck,3.2222223,9,0,"The Red Pony John Steinbeck Horses, Horse, Open Library Staff Picks, Ponies, Fiction, Boys, Ranch life, Coming of age, Loss (Psychology), Western stories Mandarin, Bantam, Remzi Kitabevi, Paw Prints 2008-06-26, Gallimard / Folio junior 1","Horses, Horse, Open Library Staff Picks, Ponies, Fiction, Boys, Ranch life, Coming of age, Loss (Psychology), Western stories",,"Mandarin, Bantam, Remzi Kitabevi, Paw Prints 2008-06-26, Gallimard / Folio junior 1",https://openlibrary.org/works/OL23197W,https://covers.openlibrary.org/b/id/9278181-M.jpg,Open Library API
1933,The case of the velvet claws,Erle Stanley Gardner,4.0,7,0,"The case of the velvet claws Erle Stanley Gardner Fiction, Perry Mason (Fictitious character), Trials (Murder), American Detective and mystery stories, Translations into Russian, Detective and mystery stories, California, fiction, Lawyers, fiction, Los angeles (calif.), fiction, Mason, perry (fictitious character), fiction W. Morrow and company, Espasa, Blakiston, J'ai lu, American Bar Association","Fiction, Perry Mason (Fictitious character), Trials (Murder), American Detective and mystery stories, Translations into Russian, Detective and mystery stories, California, fiction, Lawyers, fiction, Los angeles (calif.), fiction, Mason, perry (fictitious character), fiction",,"W. Morrow and company, Espasa, Blakiston, J'ai lu, American Bar Association",https://openlibrary.org/works/OL16747W,https://covers.openlibrary.org/b/id/207116-M.jpg,Open Library API
1933,Story About Ping,Marjorie Flack,3.857143,7,0,"Story About Ping Marjorie Flack Fiction, Juvenile fiction, Ducks, JUVENILE FICTION / People & Places / Asia, JUVENILE FICTION / Classics, JUVENILE FICTION / Animals / Ducks, Geese, Ducklings, Readers, Espanol, Spanish language Red Fox, Random House UK Ltd (A Division of Random House Group), Tandem Library, Dutton Juvenile, Rebound by Sagebrush","Fiction, Juvenile fiction, Ducks, JUVENILE FICTION / People & Places / Asia, JUVENILE FICTION / Classics, JUVENILE FICTION / Animals / Ducks, Geese, Ducklings, Readers, Espanol, Spanish language",,"Red Fox, Random House UK Ltd (A Division of Random House Group), Tandem Library, Dutton Juvenile, Rebound by Sagebrush",https://openlibrary.org/works/OL2588330W,https://covers.openlibrary.org/b/id/104588-M.jpg,Open Library API
1933,Parker Pyne Investigates,Agatha Christie,4.0,2,0,"Parker Pyne Investigates Agatha Christie Detective and mystery stories, English Detective and mystery stories, Fiction, Mystery, Parker Pyne (Fictitious character), Private investigators, Murder, Large type books, English literature, Fiction, mystery & detective, traditional Bantam Books, Dodd, Mead & co., Diogenes Verlag, Tandem Library, HarperCollins Audiobooks,","Detective and mystery stories, English Detective and mystery stories, Fiction, Mystery, Parker Pyne (Fictitious character), Private investigators, Murder, Large type books, English literature, Fiction, mystery & detective, traditional",,"Bantam Books, Dodd, Mead & co., Diogenes Verlag, Tandem Library, HarperCollins Audiobooks,",https://openlibrary.org/works/OL472884W,https://covers.openlibrary.org/b/id/11171205-M.jpg,Open Library API
1933,"San Manuel Bueno, mártir",Miguel de Unamuno,4.0666666,15,0,"San Manuel Bueno, mártir Miguel de Unamuno Spanish language, Readers, Priests, Criticism and interpretation, Fiction, Fiction, religious, Spain, fiction, Catholic Church, Clergy, Priesthood ENCUENTRO, Colton Book Imports, Cátedra, Editorial Luis Vives (Edelvives), Espasa Calpe","Spanish language, Readers, Priests, Criticism and interpretation, Fiction, Fiction, religious, Spain, fiction, Catholic Church, Clergy, Priesthood",,"ENCUENTRO, Colton Book Imports, Cátedra, Editorial Luis Vives (Edelvives), Espasa Calpe",https://openlibrary.org/works/OL503616W,https://covers.openlibrary.org/b/id/4410960-M.jpg,Open Library API
1933,Why shoot a butler?,Georgette Heyer,3.0,3,0,"Why shoot a butler? Georgette Heyer 1930s, Contemporary, Suspense, Fiction, Country homes, Fiction in English, Detective stories, Butlers, Investigation, Murder Chivers, Granada, Panther, Hamilton & Co, BANTAM DOUBLEDAY DELL","1930s, Contemporary, Suspense, Fiction, Country homes, Fiction in English, Detective stories, Butlers, Investigation, Murder",,"Chivers, Granada, Panther, Hamilton & Co, BANTAM DOUBLEDAY DELL",https://openlibrary.org/works/OL4092687W,https://covers.openlibrary.org/b/id/6921909-M.jpg,Open Library API
1934,Tropic of Cancer,Henry Miller,3.55,20,0,"Tropic of Cancer Henry Miller Autobiographical fiction, Fiction, Americans, Authorship, Bohemianism, Sex customs, History, Social life and customs, Amerikaner, Bohème Flamingo, Signet Classics, Editions du chêne, Boukoimanis, The   Book   Club   Associates","Autobiographical fiction, Fiction, Americans, Authorship, Bohemianism, Sex customs, History, Social life and customs, Amerikaner, Bohème",,"Flamingo, Signet Classics, Editions du chêne, Boukoimanis, The   Book   Club   Associates",https://openlibrary.org/works/OL261866W,https://covers.openlibrary.org/b/id/13119236-M.jpg,Open Library API
1934,Murder in Three Acts,Agatha Christie,3.6666667,12,0,"Murder in Three Acts Agatha Christie Fiction, Hercule Poirot (Fictitious character), Murder in fiction, Murder, Private investigators, Private investigators in fiction, Detective and mystery stories, Mystery and detective stories, Investigation, Mystery Kadokawa Shoten, Crime Club / Book Club, Harpercollins, Dodd, Mead & Company, HarperColiins","Fiction, Hercule Poirot (Fictitious character), Murder in fiction, Murder, Private investigators, Private investigators in fiction, Detective and mystery stories, Mystery and detective stories, Investigation, Mystery",,"Kadokawa Shoten, Crime Club / Book Club, Harpercollins, Dodd, Mead & Company, HarperColiins",https://openlibrary.org/works/OL471765W,https://covers.openlibrary.org/b/id/6874620-M.jpg,Open Library API
1934,"I, Claudius",Robert Graves,4.1904764,21,0,"I, Claudius Robert Graves Literature, Emperadores, Fiction in English, Biographical fiction, Emperors, Historia, Emperor of Rome, Rome, Ficción, Fiction Vintage Books, H. Smith and R. Haas, Methuen, A. Barker, Decca Record Co","Literature, Emperadores, Fiction in English, Biographical fiction, Emperors, Historia, Emperor of Rome, Rome, Ficción, Fiction",,"Vintage Books, H. Smith and R. Haas, Methuen, A. Barker, Decca Record Co",https://openlibrary.org/works/OL5036952W,https://covers.openlibrary.org/b/id/14656260-M.jpg,Open Library API
